|Index|q10_resp|q1_resp|q2_resp|q3_resp|q4_resp|q5_resp|q6_resp|q7_resp|q8_resp|q9_resp|qimg|stim_id|stim_txt|complement
26|53||place in a microwave safe container. &#160;Set microwave to High for 1 minute, this will soften the cream cheese.|True|False|True|False|False|True|False||easy-like-sunday-morningfootball-tailgate-dip_5_0.jpg|1777_5|Remove the cream cheese from packaging and place in a microwave safe container. &#160;Set microwave to High for 1 minute, this will soften the cream cheese.|Remove the cream cheese from packaging and 
27|54||4 large bricks|True|False|True|False|False|False|False||charcoal-bar-b-q_1_0.jpg|1343_1|4 large bricks(I got mine from Home Depot for about 4 dollars each)Oven rackCharcoal|(I got mine from Home Depot for about 4 dollars each)Oven rackCharcoal
28|55||This will prevent the plastic from shifting while in the freezer.|False|False|False|True|False|True|False||ice-cube-popsicles_3_0.jpg|2693_3|This will prevent the plastic from shifting while in the freezer.|
29|56||an iron, a flat metal bar (I used a level) a vacuum, Mylar bags and the food to be packaged.|True|False|False|False|False|False|False||vacuum-sealing-dehydrated-food-in-mylar_1_0.jpg|3144_1|You will need an iron, a flat metal bar (I used a level) a vacuum, Mylar bags and the food to be packaged.|You will need 
30|57||Let the tea cool off before serving. |True|False|False|True|True|True|False||sun-made-ice-tea_5_0.jpg|5230_5|Let the tea cool off before serving. Mine was so hot I poured myself a glass and had to put it in the freezer to cool down before I drank it. Add some ice to keep your drink cold and a mint leaf to give it some class. Enjoy!|Mine was so hot I poured myself a glass and had to put it in the freezer to cool down before I drank it. Add some ice to keep your drink cold and a mint leaf to give it some class. Enjoy!
31|58|False|In a small bowl, mix together 2 Tbsp. mayo, 1 Tbsp. French dressing and 2 tsp. pickle relish.|True|False|True|True|False|False|True|False|how-to-make-grilled-chicken-and-pineapple-sandwich_3_0.jpg|5316_3|Optional sauce: In a small bowl, mix together 2 Tbsp. mayo, 1 Tbsp. French dressing and 2 tsp. pickle relish. Combine until smooth.|Optional sauce:  Combine until smooth.
32|59||When the cake is finished cooking, take it out of the oven and allow cooling for about 5 minutes. |False|False|True|True|False|False|False||snowman-cake-balls_8_0.jpg|372_8|When the cake is finished cooking, take it out of the oven and allow cooling for about 5 minutes. Next, crumble the cake into fine pieces. |Next, crumble the cake into fine pieces. 
33|60||Compactly fill the container with a head of lettuce.Use pieces of kale to cover the lettuce.|True|False|False|False|True|True|False||fruit-bouquets-how-to-make-an-apple-dessert-bar_3_0.jpg|2150_3|Use a container to hold the skewered apple slices on the buffet table.Compactly fill the container with a head of lettuce.Use pieces of kale to cover the lettuce.|Use a container to hold the skewered apple slices on the buffet table.
34|61|False|Place the gelatin pack and the sugar in the stove pot and then mix together to form a fine powder|True|False|False|True|False|False|True|True|vanilla-panna_2_0.jpg|1008_1|Place the gelatin pack and the sugar in the stove pot and then mix together to form a fine powder|
35|62||Allow to cool completely before serving. |False|False|False|False|False|False|False||grilled-blueberry-pie_7_0.jpg|5229_7|Allow to cool completely before serving. Serve with your favorite ice cream.|Serve with your favorite ice cream.
36|63||if you are luckky and live in or close to a farm, you might see some grasshoppers just hopping around, some families in mexico take a couple of hours to get a good quantity for a dinner,|False|False|False|False|False|False|False||how-to-cook-grasshoppers-the-mexican-way_1_0.jpg|279_1|if you are luckky and live in or close to a farm, you might see some grasshoppers just hopping around, some families in mexico take a couple of hours to get a good quantity for a dinner, | 
37|64||Spread the meat out on the dehydrator racks without touching each other and dehydrate at 155&#176;F for 4-6 hours.|True|False|True|False|False|True|False||spicy-hot-beef-jerky-1_6_0.jpg|4977_6|Spread the meat out on the dehydrator racks without touching each other and dehydrate at 155&#176;F for 4-6 hours.|
38|65||Sprinkle with the crushed candy canes.|True|False|False|False|False|True|False||homemade-peppermint-bark_6_0.jpg|3959_6|Sprinkle with the crushed candy canes.|
39|66||Bake at 180 degrees of 40-50 minutes. |True|False|True|True|False|True|False||potato-baked-pudding-with-mushrooms_6_0.jpg|4429_6|Bake at 180 degrees of 40-50 minutes. Don't think highly too that cheese wasn't overroasted.|Don't think highly too that cheese wasn't overroasted.
40|67||Line a baking sheet with parchment paper and sprinkle the cornmeal. Place the braided dough on top and cover loosely with plastic wrap. Let sit 20-30 minutes.|True|False|True|False|True|True|False||braided-nutella-bread_8_0.jpg|3781_8|Line a baking sheet with parchment paper and sprinkle the cornmeal. Place the braided dough on top and cover loosely with plastic wrap. Let sit 20-30 minutes.|
41|68|False|Stir in the frozen peas and seafood (optional) and cook for a further five minutes|True|False|True|True|False|False|True|True|delicous-paella_4_0.jpg|3181_4|Now add the riceThenBring it to a boil and allow to simmer for 15 minutesTip: Watch carefully, the water can evaporate causing the rice stick to the pan and burning.FINALLYStir in the frozen peas and seafood (optional) and cook for a further five minutesYOUR DONE|Now add the riceThenBring it to a boil and allow to simmer for 15 minutesTip: Watch carefully, the water can evaporate causing the rice stick to the pan and burning.FINALLYYOUR DONE
42|69||slowly begin pouring milk into the bag that is located in the box until desired amount.|False|False|False|False|False|False|False||how-to-peroperly-prepare-a-bowl-of-cereal_4_0.jpg|4596_4|Open your box and slowly begin pouring milk into the bag that is located in the box until desired amount.|Open your box and 
43|70||You made it to the end. Your finished product, The Cupcake cake.|True|False|False|False|False|True|False||how-to-make-a-cupcake-cake_10_0.jpg|5092_9|You made it to the end. Your finished product, The Cupcake cake. | 
44|71||If you'd like to learn about &#8211; and try &#8211; other food preservation techniques like:CanningPicklingDrying/DehydratingCheck out my free online Instructables Canning & Preserving Class!|False|False|False|False|False|False|False||sweet-garlic-sauerkraut_10_0.jpg|197_2|If you'd like to learn about &#8211; and try &#8211; other food preservation techniques like:CanningPicklingDrying/DehydratingCheck out my free online Instructables Canning & Preserving Class!|
45|72||Next add the water|True|False|False|True|False|True|False||sweet-mochas_4_0.jpg|4833_4|Next add the water | 
46|73||check if it is now frozen and if it is frozen put it out of the freezer and put out the tape to and get one of a lolli juice cube out from the tray and start licking and eating |True|False|False|False|False|True|False||lolli-juice-cube-summer-treat_7_0.jpg|1138_6|check if it is now frozen and if it is frozen put it out of the freezer and put out the tape to and get one of a lolli juice cube out from the tray and start licking and eating hope you enjoy!|hope you enjoy!
47|74|False|Place a small bunch of fresh arugula on the bottom bun, add the chicken breast and grilled pineapple slice. |True|False|False|True|False|True|True|True|how-to-make-grilled-chicken-and-pineapple-sandwich_8_0.jpg|1934_8|To assemble: place mayo (or optional sauce) on both sides of bun. Place a small bunch of fresh arugula on the bottom bun, add the chicken breast and grilled pineapple slice. Cover with top of bun. Serve immediately.Source: http://meal5.com/simple-healthy-recipes/how-to-make-grilled-chicken-and-pineapple-sandwiches|To assemble: place mayo (or optional sauce) on both sides of bun. Cover with top of bun. Serve immediately.Source: http://meal5.com/simple-healthy-recipes/how-to-make-grilled-chicken-and-pineapple-sandwiches
48|75||Make sure don't overfill two teaspoons, if you do, you won't even notice a scent of orange in your tea.|False|False|True|True|False|False|False||making-orange-tea-using-peels_3_0.jpg|2975_3|Make sure don't overfill two teaspoons, if you do, you won't even notice a scent of orange in your tea. Also, you need to use a cup save from heat!!! If you use the plastic ones, it will melt by the boiling water| Also, you need to use a cup save from heat!!! If you use the plastic ones, it will melt by the boiling water
49|76|False|I choose to add M&M;'s for the finishing touches of perfection in a PBJ|True|False|False|False|False|False|True|False|ultimate-pbj_7_0.jpg|4556_7|You can really add almost anything to a PBJ sandwich. Sweet things make it all the better, which is why I choose to add M&M;'s for the finishing touches of perfection in a PBJ. |You can really add almost anything to a PBJ sandwich. Sweet things make it all the better, which is why . 
50|77||Pour lemonade into glasses and enjoy.|True|False|False|False|False|True|False||how-to-make-lemonade-1_4_0.jpg|4911_2|4. Pour lemonade into glasses and enjoy.|4. 
51|78|True|Wrap meat in dumpling skins.|True|False|False|False|False|False|True|False|how-to-cook-a-chinese-dumpling_10_0.jpg|2686_10|Wrap meat in dumpling skins.|
52|79||Now put the first layer of cheese on top of the chips|True|False|False|False|False|True|False||double-layered-nachos-hercules2016_2_0.jpg|4019_2|Now put the first layer of cheese on top of the chips again put as much as u want remember it's only the first layer| again put as much as u want remember it's only the first layer
53|80||Add 1/2 cup finely diced jalapeno pepper. Use more or less for desired heat. Remove seeds and membranes from jalapeno to reduce heat levels.|True|False|True|False|True|False|False||corn-and-black-bean-salsa_7_0.jpg|1868_7|Add 1/2 cup finely diced jalapeno pepper. Use more or less for desired heat. Remove seeds and membranes from jalapeno to reduce heat levels.|
54|81|False|Now, take one of the smaller olives and cut a horizontal slit where you will put the beak|True|False|False|True|False|False|True|False|olive-penguin_10_0.jpg|3661_9|Now, take one of the smaller olives and cut a horizontal slit where you will put the beak|
55|84|False| You can make a cup of milk coffee or black coffee.|True|False|False|True|False|False|True|True|vietnamese-yogurt-coffee-make-it-at-home_4_0.jpg|665_4|You can make a cup of milk coffee or black coffee. |You can make a cup of milk coffee or black coffee. 
56|85||Congrats you're done! This is the easiest way I have found to make super chocolatey milk, add more chocolate syrup if needed.|False|False|False|False|False|True|False||how-to-make-super-easy-chocolate-milk_5_0.jpg|2778_5|Congrats you're done! This is the easiest way I have found to make super chocolatey milk, add more chocolate syrup if needed. Enjoy!!!!| Enjoy!!!!
57|86||Pair this with some maple syrup and breakfast for lunch never sounded so good!|False|False|False|False|False|False|False||10-ways-to-use-sandwich-bread-for-lunch_9_0.jpg|5065_9|Pair this with some maple syrup and breakfast for lunch never sounded so good!|
58|89||Take your cup and insert a teabag to your choice.|True|False|False|False|False|True|False||how-to-make-tea-without-sugar_3_0.jpg|782_3|Take your cup and insert a teabag to your choice. Fold the string around the edge of the cup, so the little cardboard at the end lies on the surface.| Fold the string around the edge of the cup, so the little cardboard at the end lies on the surface.
59|90|False|Always remember to wash and disinfect your hands before preparing any food!!|True|False|False|False|False|False|True|False|ultimate-pbj_1_0.jpg|5572_1|Always remember to wash and disinfect your hands before preparing any food!! | 
60|91||Once they turn soft, take them into a serving bowl.|True|False|False|False|False|True|False||5-vegetable-finger-snacks-for-2-teeth-baby-toddler_5_0.jpg|2989_5|Peel the pumpkin and slice into tiny fingers or piecesHeat a frying pan and pour a tsp of oilAdd the pumpkin pieces and cook until soft on medium-heat.(takes 6 - 8 minutes)note: add 1/4 cup of water if needed while cooking...Once they turn soft, take them into a serving bowl.Let it cool before serving|Peel the pumpkin and slice into tiny fingers or piecesHeat a frying pan and pour a tsp of oilAdd the pumpkin pieces and cook until soft on medium-heat.(takes 6 - 8 minutes)note: add 1/4 cup of water if needed while cooking...Let it cool before serving
61|92||Put all the ingredients into a blender.|True|False|False|False|False|True|False||chai-tea-smoothie_4_0.jpg|4560_3|Put all the ingredients into a blender.|
62|93||After the expiriment record your results and dispose of the chemicals properly.|False|False|False|True|False|False|False||melting-hamburgers_4_0.jpg|645_4|After the expiriment record your results and dispose of the chemicals properly.|
63|94||Transfer to a wire rack to cool for 10 minutes.|False|False|False|False|False|False|False||sour-cream-banana-bread_8_0.jpg|1745_8|Transfer to a wire rack to cool for 10 minutes. Slide a knife around the perimeter of the pan, invert to release the bread, and cool completely on the wire rack before serving.| Slide a knife around the perimeter of the pan, invert to release the bread, and cool completely on the wire rack before serving.
64|95||use your hands to bring the mixture together. It may not work at first and be hard to combine, but that's normal. keep needing the dough until soft and shiny on the outside|False|False|False|False|False|False|False||easy-cut-out-cookies_5_0.jpg|477_5|use your hands to bring the mixture together. It may not work at first and be hard to combine, but that's normal. keep needing the dough until soft and shiny on the outside|
65|96||By the time you've drunk the gently fruity water, the berries have defrosted and are perfect to eat.|False|False|False|False|False|False|False||berry-spritzer_4_0.jpg|1401_4|By the time you've drunk the gently fruity water, the berries have defrosted and are perfect to eat.|
66|97|| If you would like you can gather frosting or other toppings and decorate your 'Cup' Cake before you eat it. |False|False|False|False|False|False|False||cup-cake-1_8_0.jpg|4456_6|If you would like you can gather frosting or other toppings and decorate your 'Cup' Cake before you eat it. I, personally, did not and just ate it plain. |If you would like you can gather frosting or other toppings and decorate your 'Cup' Cake before you eat it. I, personally, did not and just ate it plain. 
67|98||Draw a large ring of whipped cream on the jam about 1 inch from the side.|True|True|False|False|False|True|False||ala-victorian-cake_8_0.jpg|1464_6|Draw a large ring of whipped cream on the jam about 1 inch from the side.|
68|99||ou will need:Two lemonsPart of a cucumberA small bunch of basil1/3 cup of sugarwater|True|False|True|True|False|False|False||fancy-cucumber-basil-lemonade_1_0.jpg|3082_1|You will need:Two lemonsPart of a cucumberA small bunch of basil1/3 cup of sugarwater|Y
69|101|False|Keep stirring continuosly|True|False|False|True|False|False|True|False|cornflakes-rabri_2_0.jpg|3008_2|-After sometime you can see milk starts boiling.Keep stirring continuosly|-After sometime you can see milk starts boiling.
70|102|True|lice the three pickles in half to allow for more pickle space on the sandwich.|True|False|False|True|False|False|True|False|cuban-sandwich_7_0.jpg|5154_7|Slice the three pickles in half to allow for more pickle space on the sandwich.|S
71|103|False|Fill with tonic.|True|False|False|False|False|False|True|False|melon-berry-refresher_6_0.jpg|2187_6|Fill with tonic.|
72|104||all that is left to do is heat at 350 degrees for 30 minutes, just to heat it through and melt the cheese |False|False|False|False|False|False|False||beef-casserole_8_0.jpg|1878_8|all that is left to do is heat at 350 degrees for 30 minutes, just to heat it through and melt the cheese Enjoy your one dish beef casserole|Enjoy your one dish beef casserole
73|105||Put the chopped potatoes in the other pan.|True|False|False|True|False|True|False||potato-cheese-bacon-casserole_4_0.jpg|2581_4|Put the chopped potatoes in the other pan. | 
74|106||Put the burner on medium tending towards medium low to make sure you do not burn the sandwich.|False|False|False|False|False|False|False||cuban-sandwich_2_0.jpg|478_2|Put the burner on medium tending towards medium low to make sure you do not burn the sandwich.|
75|107||ions: -Mix everything and add 3/4 cup|False|False|False|False|False|False|False||curd-jantikalucrispy-curd-snacks_3_0.jpg|1330_3|-Mix everything and add 3/4 cup curd to it|-Mix everything and add 3/4 cup curd to it
76|108||irst heat the popcorn bags until the popcorn is fully popped.|False|False|False|False|False|False|False||poppy-snows_2_0.jpg|3487_2|First heat the popcorn bags until the popcorn is fully popped.|F
77|109||l. Repeat until you have desired am|False|False|False|False|False|False|False||arepa-balls-who-doesnt-love-balls_2_0.jpg|5765_2|Take a handful of dough and roll into 2 ball. Repeat until you have desired amount of balls.|Take a handful of dough and roll into 2 balount of balls.
78|113|False|Mark an horizontal line at this point on three sides. Cut along line through three sides. Leave band attached to one side of carton body.|True|False|False|False|False|False|True|True|container-from-recycled-milk-carton_3_0.jpg|715_3|Measure down 2.5 cm from the new top edge.  Mark an horizontal line at this point on three sides.  Cut along line through three sides.  Leave band attached to one side of carton body.|Measure down 2.5 cm from the new top edge.  Mark an horizontal line at this point on three sides.  Cut along line through three sides.  Leave band attached to one side of carton body.
79|114|False|To create Peppa face, you need to make a heart shape. You may use heart shape cutter or free hand.|True|False|False|False|False|False|True|False|how-to-make-quick-and-easy-bento-box-snack-idea-fo_1_0.jpg|3990_1|To create Peppa face, you need to make a heart shape. You may use heart shape cutter or free hand.|
80|115||fill a blender of food-processor with the roasted peanuts.|True|False|False|False|False|True|False||homemade-peanut-butter-2-3_2_0.jpg|1326_2|Making sure they're still warm from the oven, fill a blender of food-processor with the roasted peanuts.|Making sure they're still warm from the oven, 
81|116||Now decorate your tea using lemons, limes, oranges, or even small umbrellas |True|False|False|False|False|True|False||making-orange-tea-using-peels_6_0.jpg|3800_6|Now decorate your tea using lemons, limes, oranges, or even small umbrellas lol XD|lol XD
82|117||Then just pop it in your glass and enjoy.|True|False|False|False|False|True|False||easy-large-sized-whiskey-ice-cubes_4_0.jpg|22_4|Running a bit of hot water on the end of the cup helps release the cube from the cup.  Then just pop it in your glass and enjoy. |Running a bit of hot water on the end of the cup helps release the cube from the cup.   
83|118||Get a spoon|True|False|False|False|False|True|False||ice-lolly-in-a-cup_5_0.jpg|5074_5|Get a spoon and crush it up and eat.| and crush it up and eat.
84|119||Drain the ground beef leaving a small amount of grease in the pot with the ground beef and add the rotel, cream of chicken soup, taco seasoning,chopped jalapeno and 1 soup can full of water.|True|False|True|False|False|True|False||tamale-pie_3_0.jpg|4607_3|Drain the ground beef leaving a small amount of grease in the pot with the ground beef and add the rotel, cream of chicken soup, taco seasoning,chopped jalapeno and 1 soup can full of water.|
85|120||Put two slices of bread into the toaster and set it to the proper setting.|True|False|False|False|False|True|False||sandwich-colonial_3_0.jpg|3168_3|Put two slices of bread into the toaster and set it to the proper setting.  You can go on while they toast.|  You can go on while they toast.
86|121|False|Put in a good heaping teaspoon of your favorite instant coffee.|True|False|False|False|False|False|True|False|hot-coffee-milk_3_0.jpg|4762_3|Put in a good heaping teaspoon of your favorite instant coffee.|
87|122||First fill it up half way with the blue raspberry stuff. |True|False|False|False|False|True|False||non-alcoholic-martini_2_0.jpg|900_2|First fill it up half way with the blue raspberry stuff. Then smell it because it smells GREAT!|Then smell it because it smells GREAT!
88|123||Instructions: MEow|False|False|False|False|False|False|False||marshmallow-man_1_0.jpg|5458_1|MEow|MEow
89|124||Place the remaining pepperoni on the pizza.|True|False|False|False|False|True|False||pepperoni-pizza_6_0.jpg|805_6|Place the remaining pepperoni on the pizza.|
90|125||Break into pieces as large or as small as you want. |True|False|False|False|False|True|False||homemade-peppermint-bark_7_0.jpg|1483_7|Refrigerate the bark until completely hardened. Once hardened, remove from the pan and peel off the parchment. Break into pieces as large or as small as you want. To do so, remove from the refrigerator and allow to sit at room temperature to slightly soften for 5-10 minutes. Use a very sharp knife and cut.|Refrigerate the bark until completely hardened. Once hardened, remove from the pan and peel off the parchment. To do so, remove from the refrigerator and allow to sit at room temperature to slightly soften for 5-10 minutes. Use a very sharp knife and cut.
91|126|False|Use a spoon to mix the protein-packed mixture|True|False|False|False|False|False|True|False|how-to-make-chocolate-whey-ice-cream_3_0.jpg|1382_3|Take it out after an hour and churnit a bit. Use a spoon to mix the protein-packed mixture or it would be even better if you take the help of a fork to break the potential clumps. Put it back in the freezer for another 30 minutes.|Take it out after an hour and churnit a bit.  or it would be even better if you take the help of a fork to break the potential clumps. Put it back in the freezer for another 30 minutes.
92|127||And as a bonus for over 3000 views total on my account the calories if this recipe isOnly around 15-20 calories, depending if you need the Vegan Recipe or notAlso, HAPPY HAPPY NEW YEAR!!!|False|False|False|False|False|False|False||making-orange-tea-using-peels_7_0.jpg|2975_7|And as a bonus for over 3000 views total on my account the calories if this recipe isOnly around 15-20 calories, depending if you need the Vegan Recipe or notAlso, HAPPY HAPPY NEW YEAR!!!|
93|128|False|Combine the soften cream cheese and salsa with the sausage already in the skillet.|True|False|False|True|False|False|True|False|easy-like-sunday-morningfootball-tailgate-dip_6_0.jpg|1777_6|Combine the soften cream cheese and salsa with the sausage already in the skillet.|
94|129||Spread the mixture evenly over a lined baking sheet.|True|False|False|True|False|True|False||chunky-chocolate-buckwheat-granola-1_4_0.jpg|2158_4|Spread the mixture evenly over a lined baking sheet.|
95|130||You may just use scissors to create hands and feet from a bread.|True|True|False|False|False|True|False||how-to-make-quick-and-easy-bento-box-snack-idea-fo_6_0.jpg|3990_6|You may just use scissors to create hands and feet from a bread.|
96|131|False|Cook the other side for 4&#8211;6 minutes until chicken is done. |True|False|True|False|False|False|True|False|how-to-make-grilled-chicken-and-pineapple-sandwich_5_0.jpg|1934_5|Cook the other side for 4&#8211;6 minutes until chicken is done. Remove from the grill, cover and set aside to rest.|Remove from the grill, cover and set aside to rest.
97|132||Slowly wiggle the spoon through kiwi|True|False|False|False|False|True|False||slice-a-kiwi-like-a-pro_3_0.jpg|3922_3|Slowly wiggle the spoon through kiwi|
98|133|False|But you're welcome to cook yours anyway you like.|True|False|False|False|False|False|True|False|awesome-bacon-grilled-cheese_1_0.jpg|158_1|I like my bacon extra crispy. But you're welcome to cook yours anyway you like.|I like my bacon extra crispy. 
99|134|False|Add the egg, then the oats, milk, and vanilla extract and beat together until well blended.|True|False|False|False|False|False|True|True|how-to-make-chunky-chocolate-cookies_5_0.jpg|2971_5|Add the egg, then the oats, milk, and vanilla extract and beat together until well blended.|
100|135||Now you have a delicious tuna sandwich. |True|False|False|False|False|True|False||how-to-make-a-simple-tuna-sandwich_8_0.jpg|586_8|Now you have a delicious tuna sandwich. Eat up!|Eat up!
